이름,부서,직급,역할,희망주제,경험수준,이메일
김민수,개발1팀,대리,백엔드개발,AI챗봇,상,minsu.kim@company.com
이서연,기획팀,주임,서비스기획,업무자동화,중,seoyeon.lee@company.com
박준혁,개발2팀,과장,프론트엔드개발,데이터시각화,상,junhyuk.park@company.com
최유진,디자인팀,대리,UX디자인,AI챗봇,중,yujin.choi@company.com
정태윤,데이터팀,대리,데이터분석,데이터시각화,상,taeyun.jung@company.com
한소희,마케팅팀,주임,서비스기획,업무자동화,하,sohee.han@company.com
송민재,개발1팀,사원,백엔드개발,사내검색,중,minjae.song@company.com
윤지현,HR팀,대리,서비스기획,업무자동화,하,jihyun.yoon@company.com
임현우,개발3팀,대리,풀스택개발,AI챗봇,상,hyunwoo.lim@company.com
강예린,디자인팀,주임,UI디자인,데이터시각화,중,yerin.kang@company.com
조성훈,개발2팀,사원,프론트엔드개발,사내검색,중,sunghoon.cho@company.com
배수아,CS팀,대리,서비스기획,AI챗봇,중,sua.bae@company.com
오진우,데이터팀,과장,ML엔지니어,데이터시각화,상,jinwoo.oh@company.com
신유나,기획팀,사원,서비스기획,사내검색,하,yuna.shin@company.com
권도현,개발3팀,대리,백엔드개발,업무자동화,상,dohyun.kwon@company.com
장미래,디자인팀,대리,UX디자인,사내검색,중,mirae.jang@company.com
